slug;name;level;soul_shard;gold;time_days;time_seconds;effect_value;effect_name;oracle;req1;req2;req3;req4;inf
secretf_04;Стремительность I;2;8500;475000;464;0;4,00%;Стремительность I;31;Урон против I тира в Крепостях 1;Урон против II тира в Крепостях 1;Урон против III тира в Крепостях 1;;295000
secretf_04;Стремительность I;3;13000;575000;689;0;8,00%;Стремительность I;32;Урон против I тира в Крепостях 2;Урон против II тира в Крепостях 2;Урон против III тира в Крепостях 2;;665000
secretf_04;Стремительность I;4;19000;680000;1022;0;12,00%;Стремительность I;32;Урон против I тира в Крепостях 3;Урон против II тира в Крепостях 3;Урон против III тира в Крепостях 3;;1500000
secretf_04;Стремительность I;5;28000;780000;1518;0;16,00%;Стремительность I;33;Урон против I тира в Крепостях 4;Урон против II тира в Крепостях 4;Урон против III тира в Крепостях 4;;3400000
secretf_04;Стремительность I;6;41500;885000;2254;0;21,00%;Стремительность I;33;Урон против I тира в Крепостях 4;Урон против II тира в Крепостях 4;Урон против III тира в Крепостях 4;;7650000
secretf_04;Стремительность I;7;61500;1050000;3346;0;27,00%;Стремительность I;34;Урон против I тира в Крепостях 5;Урон против II тира в Крепостях 5;Урон против III тира в Крепостях 5;;17500000
secretf_04;Стремительность I;8;91000;1200000;4969;0;33,00%;Стремительность I;34;Урон против I тира в Крепостях 6;Урон против II тира в Крепостях 6;Урон против III тира в Крепостях 6;;39000000
secretf_04;Стремительность I;9;135000;1550000;7379;0;41,00%;Стремительность I;35;Урон против I тира в Крепостях 7;Урон против II тира в Крепостях 7;Урон против III тира в Крепостях 7;;88000000
secretf_04;Стремительность I;10;205000;2200000;10958;0;50,00%;Стремительность I;35;Урон против I тира в Крепостях 10;Урон против II тира в Крепостях 10;Урон против III тира в Крепостях 10;;200000000
secretf_05;Урон против IV тира в Крепостях;1;10500;570000;342;0;0,50%;Урон против IV тира в Крепостях;31;Стремительность I 1;;;;160000
secretf_05;Урон против IV тира в Крепостях;2;15500;710000;508;0;1,00%;Урон против IV тира в Крепостях;31;Стремительность I 1;;;;355000
secretf_05;Урон против IV тира в Крепостях;3;23000;850000;754;0;1,50%;Урон против IV тира в Крепостях;32;Стремительность I 2;;;;800000
secretf_05;Урон против IV тира в Крепостях;4;34000;990000;1119;0;2,00%;Урон против IV тира в Крепостях;32;Стремительность I 3;;;;1850000
secretf_05;Урон против IV тира в Крепостях;5;50000;1150000;1662;0;2,50%;Урон против IV тира в Крепостях;33;Стремительность I 4;;;;4100000
secretf_05;Урон против IV тира в Крепостях;6;74500;1300000;2468;0;3,00%;Урон против IV тира в Крепостях;33;Стремительность I 4;;;;9200000
secretf_05;Урон против IV тира в Крепостях;7;115000;1450000;3665;0;3,50%;Урон против IV тира в Крепостях;34;Стремительность I 5;;;;21000000
secretf_05;Урон против IV тира в Крепостях;8;165000;1700000;5442;0;4,00%;Урон против IV тира в Крепостях;34;Стремительность I 6;;;;47000000
secretf_05;Урон против IV тира в Крепостях;9;245000;2150000;8080;0;4,50%;Урон против IV тира в Крепостях;35;Стремительность I 7;;;;110000000
secretf_05;Урон против IV тира в Крепостях;10;365000;3100000;11999;0;5,00%;Урон против IV тира в Крепостях;35;Стремительность I 10;;;;240000000
secretf_06;Урон против V тира в Крепостях;1;10500;570000;342;0;0,50%;Урон против V тира в Крепостях;31;Стремительность I 1;;;;160000
secretf_06;Урон против V тира в Крепостях;2;15500;710000;508;0;1,00%;Урон против V тира в Крепостях;31;Стремительность I 1;;;;355000
secretf_06;Урон против V тира в Крепостях;3;23000;850000;754;0;1,50%;Урон против V тира в Крепостях;32;Стремительность I 2;;;;800000
secretf_06;Урон против V тира в Крепостях;4;34000;990000;1119;0;2,00%;Урон против V тира в Крепостях;32;Стремительность I 3;;;;1850000
secretf_06;Урон против V тира в Крепостях;5;50000;1150000;1662;0;2,50%;Урон против V тира в Крепостях;33;Стремительность I 4;;;;4100000
secretf_06;Урон против V тира в Крепостях;6;74500;1300000;2468;0;3,00%;Урон против V тира в Крепостях;33;Стремительность I 4;;;;9200000
secretf_06;Урон против V тира в Крепостях;7;115000;1450000;3665;0;3,50%;Урон против V тира в Крепостях;34;Стремительность I 5;;;;21000000
secretf_06;Урон против V тира в Крепостях;8;165000;1700000;5442;0;4,00%;Урон против V тира в Крепостях;34;Стремительность I 6;;;;47000000
secretf_06;Урон против V тира в Крепостях;9;245000;2150000;8080;0;4,50%;Урон против V тира в Крепостях;35;Стремительность I 7;;;;110000000
secretf_06;Урон против V тира в Крепостях;10;365000;3100000;11999;0;5,00%;Урон против V тира в Крепостях;35;Стремительность I 10;;;;240000000
secretf_07;Урон против VI тира в Крепостях;1;10500;570000;342;0;0,50%;Урон против VI тира в Крепостях;31;Стремительность I 1;;;;160000
secretf_07;Урон против VI тира в Крепостях;2;15500;710000;508;0;1,00%;Урон против VI тира в Крепостях;31;Стремительность I 1;;;;355000
secretf_07;Урон против VI тира в Крепостях;3;23000;850000;754;0;1,50%;Урон против VI тира в Крепостях;32;Стремительность I 2;;;;800000
secretf_07;Урон против VI тира в Крепостях;4;34000;990000;1119;0;2,00%;Урон против VI тира в Крепостях;32;Стремительность I 3;;;;1850000
secretf_07;Урон против VI тира в Крепостях;5;50000;1150000;1662;0;2,50%;Урон против VI тира в Крепостях;33;Стремительность I 4;;;;4100000
secretf_07;Урон против VI тира в Крепостях;6;74500;1300000;2468;0;3,00%;Урон против VI тира в Крепостях;33;Стремительность I 4;;;;9200000
secretf_07;Урон против VI тира в Крепостях;7;115000;1450000;3665;0;3,50%;Урон против VI тира в Крепостях;34;Стремительность I 5;;;;21000000
secretf_07;Урон против VI тира в Крепостях;8;165000;1700000;5442;0;4,00%;Урон против VI тира в Крепостях;34;Стремительность I 6;;;;47000000
secretf_07;Урон против VI тира в Крепостях;9;245000;2150000;8080;0;4,50%;Урон против VI тира в Крепостях;35;Стремительность I 7;;;;110000000
secretf_07;Урон против VI тира в Крепостях;10;365000;3100000;11999;0;5,00%;Урон против VI тира в Крепостях;35;Стремительность I 10;;;;240000000
secretf_08;Урон против VII тира в Крепостях;1;10500;570000;342;0;0,50%;Урон против VII тира в Крепостях;31;Урон против IV тира в Крепостях 1;Урон против V тира в Крепостях 1;Урон против VI тира в Крепостях 1;;160000
secretf_08;Урон против VII тира в Крепостях;2;15500;710000;508;0;1,00%;Урон против VII тира в Крепостях;31;Урон против IV тира в Крепостях 1;Урон против V тира в Крепостях 1;Урон против VI тира в Крепостях 1;;355000
secretf_08;Урон против VII тира в Крепостях;3;23000;850000;754;0;1,50%;Урон против VII тира в Крепостях;32;Урон против IV тира в Крепостях 2;Урон против V тира в Крепостях 2;Урон против VI тира в Крепостях 2;;800000
secretf_08;Урон против VII тира в Крепостях;4;34000;990000;1119;0;2,00%;Урон против VII тира в Крепостях;32;Урон против IV тира в Крепостях 3;Урон против V тира в Крепостях 3;Урон против VI тира в Крепостях 3;;1850000
secretf_08;Урон против VII тира в Крепостях;5;50000;1150000;1662;0;2,50%;Урон против VII тира в Крепостях;33;Урон против IV тира в Крепостях 4;Урон против V тира в Крепостях 4;Урон против VI тира в Крепостях 4;;4100000
secretf_08;Урон против VII тира в Крепостях;6;74500;1300000;2468;0;3,00%;Урон против VII тира в Крепостях;33;Урон против IV тира в Крепостях 4;Урон против V тира в Крепостях 4;Урон против VI тира в Крепостях 4;;9200000
secretf_08;Урон против VII тира в Крепостях;7;115000;1450000;3665;0;3,50%;Урон против VII тира в Крепостях;34;Урон против IV тира в Крепостях 5;Урон против V тира в Крепостях 5;Урон против VI тира в Крепостях 5;;21000000
secretf_08;Урон против VII тира в Крепостях;8;165000;1700000;5442;0;4,00%;Урон против VII тира в Крепостях;34;Урон против IV тира в Крепостях 6;Урон против V тира в Крепостях 6;Урон против VI тира в Крепостях 6;;47000000
secretf_08;Урон против VII тира в Крепостях;9;245000;2150000;8080;0;4,50%;Урон против VII тира в Крепостях;35;Урон против IV тира в Крепостях 7;Урон против V тира в Крепостях 7;Урон против VI тира в Крепостях 7;;110000000
secretf_08;Урон против VII тира в Крепостях;10;365000;3100000;11999;0;5,00%;Урон против VII тира в Крепостях;35;Урон против IV тира в Крепостях 10;Урон против V тира в Крепостях 10;Урон против VI тира в Крепостях 10;;240000000
secretf_09;Запасы Еды;1;6300;370000;312;0;1,00%;Запасы Еды;31;Урон против VII тира в Крепостях 1;;;;130000
secretf_09;Запасы Еды;2;9400;490000;464;0;8,00%;Запасы Еды;31;Урон против VII тира в Крепостях 4;;;;295000
secretf_09;Запасы Еды;3;14000;610000;689;0;15,00%;Запасы Еды;32;Урон против VII тира в Крепостях 2;;;;665000
secretf_09;Запасы Еды;4;21000;730000;1022;0;23,00%;Запасы Еды;32;Урон против VII тира в Крепостях 3;;;;1500000
secretf_09;Запасы Еды;5;31000;845000;1518;0;32,00%;Запасы Еды;33;Урон против VII тира в Крепостях 4;;;;3400000
secretf_09;Запасы Еды;6;45500;970000;2254;0;42,00%;Запасы Еды;33;Урон против VII тира в Крепостях 4;;;;7650000
secretf_09;Запасы Еды;7;68000;1150000;3346;0;53,00%;Запасы Еды;34;Урон против VII тира в Крепостях 5;;;;17500000
secretf_09;Запасы Еды;8;105000;1350000;4969;0;67,00%;Запасы Еды;34;Урон против VII тира в Крепостях 6;;;;39000000
secretf_09;Запасы Еды;9;150000;1700000;7379;0;82,00%;Запасы Еды;35;Урон против VII тира в Крепостях 7;;;;88000000
secretf_09;Запасы Еды;10;225000;2500000;10958;0;100,00%;Запасы Еды;35;Урон против VII тира в Крепостях 10;;;;200000000
secretf_10;Запасы Железа;1;6300;370000;312;0;1,00%;Запасы Железа;31;Урон против VII тира в Крепостях 1;;;;130000
secretf_10;Запасы Железа;2;9400;490000;464;0;8,00%;Запасы Железа;31;Урон против VII тира в Крепостях 4;;;;295000
secretf_10;Запасы Железа;3;14000;610000;689;0;15,00%;Запасы Железа;32;Урон против VII тира в Крепостях 2;;;;665000
secretf_10;Запасы Железа;4;21000;730000;1022;0;23,00%;Запасы Железа;32;Урон против VII тира в Крепостях 3;;;;1500000
secretf_10;Запасы Железа;5;31000;845000;1518;0;32,00%;Запасы Железа;33;Урон против VII тира в Крепостях 4;;;;3400000
secretf_10;Запасы Железа;6;45500;970000;2254;0;42,00%;Запасы Железа;33;Урон против VII тира в Крепостях 4;;;;7650000
secretf_10;Запасы Железа;7;68000;1150000;3346;0;53,00%;Запасы Железа;34;Урон против VII тира в Крепостях 5;;;;17500000
secretf_10;Запасы Железа;8;105000;1350000;4969;0;67,00%;Запасы Железа;34;Урон против VII тира в Крепостях 6;;;;39000000
secretf_10;Запасы Железа;9;150000;1700000;7379;0;82,00%;Запасы Железа;35;Урон против VII тира в Крепостях 7;;;;88000000
secretf_10;Запасы Железа;10;225000;2500000;10958;0;100,00%;Запасы Железа;35;Урон против VII тира в Крепостях 10;;;;200000000
secretf_11;Запасы Серебра;1;6300;370000;312;0;1,00%;Запасы Серебра;31;Урон против VII тира в Крепостях 1;;;;130000
secretf_11;Запасы Серебра;2;9400;490000;464;0;8,00%;Запасы Серебра;31;Урон против VII тира в Крепостях 4;;;;295000
secretf_11;Запасы Серебра;3;14000;610000;689;0;15,00%;Запасы Серебра;32;Урон против VII тира в Крепостях 2;;;;665000
secretf_11;Запасы Серебра;4;21000;730000;1022;0;23,00%;Запасы Серебра;32;Урон против VII тира в Крепостях 3;;;;1500000
secretf_11;Запасы Серебра;5;31000;845000;1518;0;32,00%;Запасы Серебра;33;Урон против VII тира в Крепостях 4;;;;3400000
secretf_11;Запасы Серебра;6;45500;970000;2254;0;42,00%;Запасы Серебра;33;Урон против VII тира в Крепостях 4;;;;7650000
secretf_11;Запасы Серебра;7;68000;1150000;3346;0;53,00%;Запасы Серебра;34;Урон против VII тира в Крепостях 5;;;;17500000
secretf_11;Запасы Серебра;8;105000;1350000;4969;0;67,00%;Запасы Серебра;34;Урон против VII тира в Крепостях 6;;;;39000000
secretf_11;Запасы Серебра;9;150000;1700000;7379;0;82,00%;Запасы Серебра;35;Урон против VII тира в Крепостях 7;;;;88000000
secretf_11;Запасы Серебра;10;225000;2500000;10958;0;100,00%;Запасы Серебра;35;Урон против VII тира в Крепостях 10;;;;200000000
secretf_12;Количество воинов в подкреплениях I;1;6300;350000;312;0;1,00%;Количество воинов в подкреплениях I;31;Запасы Еды 1;Запасы Железа 1;Запасы Серебра 1;;130000
secretf_12;Количество воинов в подкреплениях I;2;9400;455000;464;0;4,00%;Количество воинов в подкреплениях I;31;Запасы Еды 1;Запасы Железа 1;Запасы Серебра 1;;295000
secretf_12;Количество воинов в подкреплениях I;3;14000;560000;689;0;8,00%;Количество воинов в подкреплениях I;32;Запасы Еды 2;Запасы Железа 2;Запасы Серебра 2;;665000
secretf_12;Количество воинов в подкреплениях I;4;21000;660000;1022;0;12,00%;Количество воинов в подкреплениях I;32;Запасы Еды 3;Запасы Железа 3;Запасы Серебра 3;;1500000
secretf_12;Количество воинов в подкреплениях I;5;31000;765000;1518;0;16,00%;Количество воинов в подкреплениях I;33;Запасы Еды 4;Запасы Железа 4;Запасы Серебра 4;;3400000
secretf_12;Количество воинов в подкреплениях I;6;45500;870000;2254;0;21,00%;Количество воинов в подкреплениях I;33;Запасы Еды 4;Запасы Железа 4;Запасы Серебра 4;;7650000
secretf_12;Количество воинов в подкреплениях I;7;68000;995000;3346;0;27,00%;Количество воинов в подкреплениях I;34;Запасы Еды 5;Запасы Железа 5;Запасы Серебра 5;;17500000
secretf_12;Количество воинов в подкреплениях I;8;105000;1200000;4969;0;33,00%;Количество воинов в подкреплениях I;34;Запасы Еды 6;Запасы Железа 6;Запасы Серебра 6;;39000000
secretf_12;Количество воинов в подкреплениях I;9;150000;1500000;7379;0;41,00%;Количество воинов в подкреплениях I;35;Запасы Еды 7;Запасы Железа 7;Запасы Серебра 7;;88000000
secretf_12;Количество воинов в подкреплениях I;10;225000;2200000;10958;0;50,00%;Количество воинов в подкреплениях I;35;Запасы Еды 10;Запасы Железа 10;Запасы Серебра 10;;200000000
secretf_13;Стремительность II;1;6300;370000;312;0;1,00%;Стремительность II;31;Количество воинов в подкреплениях I 1;;;;130000
secretf_13;Стремительность II;2;9400;490000;464;0;4,00%;Стремительность II;31;Количество воинов в подкреплениях I 1;;;;295000
secretf_13;Стремительность II;3;14000;610000;689;0;9,00%;Стремительность II;32;Количество воинов в подкреплениях I 2;;;;665000
secretf_13;Стремительность II;4;21000;730000;1022;0;14,00%;Стремительность II;32;Количество воинов в подкреплениях I 3;;;;1500000
secretf_13;Стремительность II;5;31000;845000;1518;0;20,00%;Стремительность II;33;Количество воинов в подкреплениях I 4;;;;3400000
secretf_13;Стремительность II;6;45500;970000;2254;0;28,00%;Стремительность II;33;Количество воинов в подкреплениях I 4;;;;7650000
secretf_13;Стремительность II;7;68000;1150000;3346;0;37,00%;Стремительность II;34;Количество воинов в подкреплениях I 5;;;;17500000
secretf_13;Стремительность II;8;105000;1350000;4969;0;48,00%;Стремительность II;34;Количество воинов в подкреплениях I 6;;;;39000000
secretf_13;Стремительность II;9;150000;1700000;7379;0;60,00%;Стремительность II;35;Количество воинов в подкреплениях I 7;;;;88000000
secretf_13;Стремительность II;10;225000;2500000;10958;0;75,00%;Стремительность II;35;Количество воинов в подкреплениях I 10;;;;200000000
secretf_14;Здоровье войск в нападении;1;12000;685000;643;0;1,00%;Здоровье войск в нападении;31;Количество воинов в подкреплениях I 1;;;;200000
secretf_14;Здоровье войск в нападении;2;17500;855000;955;0;2,00%;Здоровье войск в нападении;31;Количество воинов в подкреплениях I 1;;;;445000
secretf_14;Здоровье войск в нападении;3;25500;1050000;1418;0;3,00%;Здоровье войск в нападении;32;Количество воинов в подкреплениях I 2;;;;1000000
secretf_14;Здоровье войск в нападении;4;38000;1200000;2105;0;5,00%;Здоровье войск в нападении;32;Количество воинов в подкреплениях I 3;;;;2300000
secretf_14;Здоровье войск в нападении;5;56500;1400000;3126;0;7,00%;Здоровье войск в нападении;33;Количество воинов в подкреплениях I 4;;;;5100000
secretf_14;Здоровье войск в нападении;6;83500;1550000;4641;0;10,00%;Здоровье войск в нападении;33;Количество воинов в подкреплениях I 4;;;;11500000
secretf_14;Здоровье войск в нападении;7;125000;1750000;6892;0;13,00%;Здоровье войск в нападении;34;Количество воинов в подкреплениях I 5;;;;26000000
secretf_14;Здоровье войск в нападении;8;185000;2050000;10235;0;16,00%;Здоровье войск в нападении;34;Количество воинов в подкреплениях I 6;;;;59000000
secretf_14;Здоровье войск в нападении;9;275000;2550000;15199;0;20,00%;Здоровье войск в нападении;35;Количество воинов в подкреплениях I 7;;;;135000000
secretf_14;Здоровье войск в нападении;10;410000;3750000;22570;0;25,00%;Здоровье войск в нападении;35;Количество воинов в подкреплениях I 10;;;;300000000
secretf_15;Скорость шпионов;1;6300;370000;312;0;1,00%;Скорость шпионов;31;Количество воинов в подкреплениях I 1;;;;160000
secretf_15;Скорость шпионов;2;9400;490000;464;0;4,00%;Скорость шпионов;31;Количество воинов в подкреплениях I 1;;;;355000
secretf_15;Скорость шпионов;3;14000;610000;689;0;7,00%;Скорость шпионов;32;Количество воинов в подкреплениях I 2;;;;800000
secretf_15;Скорость шпионов;4;21000;730000;1022;0;11,00%;Скорость шпионов;32;Количество воинов в подкреплениях I 3;;;;1850000
secretf_15;Скорость шпионов;5;31000;845000;1518;0;16,00%;Скорость шпионов;33;Количество воинов в подкреплениях I 4;;;;4100000
secretf_15;Скорость шпионов;6;45500;970000;2254;0;22,00%;Скорость шпионов;33;Количество воинов в подкреплениях I 4;;;;9200000
secretf_15;Скорость шпионов;7;68000;1150000;3346;0;30,00%;Скорость шпионов;34;Количество воинов в подкреплениях I 5;;;;21000000
secretf_15;Скорость шпионов;8;105000;1350000;4969;0;38,00%;Скорость шпионов;34;Количество воинов в подкреплениях I 6;;;;47000000
secretf_15;Скорость шпионов;9;150000;1700000;7379;0;48,00%;Скорость шпионов;35;Количество воинов в подкреплениях I 7;;;;110000000
secretf_15;Скорость шпионов;10;225000;2500000;10958;0;60,00%;Скорость шпионов;35;Количество воинов в подкреплениях I 10;;;;240000000
secretf_16;Защита отряда в Штурме;1;12000;685000;643;0;1,00%;Защита отряда в Штурме;31;Стремительность II 1;Здоровье войск в нападении 1;Скорость шпионов 1;;200000
secretf_16;Защита отряда в Штурме;2;17500;855000;955;0;2,00%;Защита отряда в Штурме;31;Стремительность II 1;Здоровье войск в нападении 1;Скорость шпионов 1;;445000
secretf_16;Защита отряда в Штурме;3;25500;1050000;1418;0;3,00%;Защита отряда в Штурме;32;Стремительность II 2;Здоровье войск в нападении 2;Скорость шпионов 2;;1000000
secretf_16;Защита отряда в Штурме;4;38000;1200000;2105;0;5,00%;Защита отряда в Штурме;32;Стремительность II 3;Здоровье войск в нападении 3;Скорость шпионов 3;;2300000
secretf_16;Защита отряда в Штурме;5;56500;1400000;3126;0;7,00%;Защита отряда в Штурме;33;Стремительность II 4;Здоровье войск в нападении 4;Скорость шпионов 4;;5100000
secretf_16;Защита отряда в Штурме;6;83500;1550000;4641;0;10,00%;Защита отряда в Штурме;33;Стремительность II 4;Здоровье войск в нападении 4;Скорость шпионов 4;;11500000
secretf_16;Защита отряда в Штурме;7;125000;1750000;6892;0;13,00%;Защита отряда в Штурме;34;Стремительность II 5;Здоровье войск в нападении 5;Скорость шпионов 5;;26000000
secretf_16;Защита отряда в Штурме;8;185000;2050000;10235;0;16,00%;Защита отряда в Штурме;34;Стремительность II 6;Здоровье войск в нападении 6;Скорость шпионов 6;;59000000
secretf_16;Защита отряда в Штурме;9;275000;2550000;15199;0;20,00%;Защита отряда в Штурме;35;Стремительность II 7;Здоровье войск в нападении 7;Скорость шпионов 7;;135000000
secretf_16;Защита отряда в Штурме;10;410000;3750000;22570;0;25,00%;Защита отряда в Штурме;35;Стремительность II 10;Здоровье войск в нападении 10;Скорость шпионов 10;;300000000
secretf_17;Защита против I тира в Крепостях;1;10500;570000;342;0;1,00%;Защита против I тира в Крепостях;31;Защита отряда в Штурме 1;;;;160000
secretf_17;Защита против I тира в Крепостях;2;15500;710000;508;0;2,00%;Защита против I тира в Крепостях;31;Защита отряда в Штурме 1;;;;355000
secretf_17;Защита против I тира в Крепостях;3;23000;850000;754;0;3,00%;Защита против I тира в Крепостях;32;Защита отряда в Штурме 2;;;;800000
secretf_17;Защита против I тира в Крепостях;4;34000;990000;1119;0;4,00%;Защита против I тира в Крепостях;32;Защита отряда в Штурме 3;;;;1850000
secretf_17;Защита против I тира в Крепостях;5;50000;1150000;1662;0;5,00%;Защита против I тира в Крепостях;33;Защита отряда в Штурме 4;;;;4100000
secretf_17;Защита против I тира в Крепостях;6;74500;1300000;2468;0;6,00%;Защита против I тира в Крепостях;33;Защита отряда в Штурме 4;;;;9200000
secretf_17;Защита против I тира в Крепостях;7;115000;1450000;3665;0;7,00%;Защита против I тира в Крепостях;34;Защита отряда в Штурме 5;;;;21000000
secretf_17;Защита против I тира в Крепостях;8;165000;1700000;5442;0;8,00%;Защита против I тира в Крепостях;34;Защита отряда в Штурме 6;;;;47000000
secretf_17;Защита против I тира в Крепостях;9;245000;2150000;8080;0;9,00%;Защита против I тира в Крепостях;35;Защита отряда в Штурме 7;;;;110000000
secretf_17;Защита против I тира в Крепостях;10;365000;3100000;11999;0;10,00%;Защита против I тира в Крепостях;35;Защита отряда в Штурме 10;;;;240000000
secretf_18;Защита против II тира в Крепостях;1;10500;570000;342;0;0,50%;Защита против II тира в Крепостях;31;Защита отряда в Штурме 1;;;;160000
secretf_18;Защита против II тира в Крепостях;2;15500;710000;508;0;1,00%;Защита против II тира в Крепостях;31;Защита отряда в Штурме 1;;;;355000
secretf_18;Защита против II тира в Крепостях;3;23000;850000;754;0;1,50%;Защита против II тира в Крепостях;32;Защита отряда в Штурме 2;;;;800000
secretf_18;Защита против II тира в Крепостях;4;34000;990000;1119;0;2,00%;Защита против II тира в Крепостях;32;Защита отряда в Штурме 3;;;;1850000
secretf_18;Защита против II тира в Крепостях;5;50000;1150000;1662;0;2,50%;Защита против II тира в Крепостях;33;Защита отряда в Штурме 4;;;;4100000
secretf_18;Защита против II тира в Крепостях;6;74500;1300000;2468;0;3,00%;Защита против II тира в Крепостях;33;Защита отряда в Штурме 4;;;;9200000
secretf_18;Защита против II тира в Крепостях;7;115000;1450000;3665;0;4,00%;Защита против II тира в Крепостях;34;Защита отряда в Штурме 5;;;;21000000
secretf_18;Защита против II тира в Крепостях;8;165000;1700000;5442;0;5,00%;Защита против II тира в Крепостях;34;Защита отряда в Штурме 6;;;;47000000
secretf_18;Защита против II тира в Крепостях;9;245000;2150000;8080;0;6,50%;Защита против II тира в Крепостях;35;Защита отряда в Штурме 7;;;;110000000
secretf_18;Защита против II тира в Крепостях;10;365000;3100000;11999;0;8,00%;Защита против II тира в Крепостях;35;Защита отряда в Штурме 10;;;;240000000
secretf_19;Защита против III тира в Крепостях;1;10500;570000;342;0;0,50%;Защита против III тира в Крепостях;31;Защита отряда в Штурме 1;;;;160000
secretf_19;Защита против III тира в Крепостях;2;15500;710000;508;0;1,00%;Защита против III тира в Крепостях;31;Защита отряда в Штурме 1;;;;355000
secretf_19;Защита против III тира в Крепостях;3;23000;850000;754;0;1,50%;Защита против III тира в Крепостях;32;Защита отряда в Штурме 2;;;;800000
secretf_19;Защита против III тира в Крепостях;4;34000;990000;1119;0;2,00%;Защита против III тира в Крепостях;32;Защита отряда в Штурме 3;;;;1850000
secretf_19;Защита против III тира в Крепостях;5;50000;1150000;1662;0;2,50%;Защита против III тира в Крепостях;33;Защита отряда в Штурме 4;;;;4100000
secretf_19;Защита против III тира в Крепостях;6;74500;1300000;2468;0;3,00%;Защита против III тира в Крепостях;33;Защита отряда в Штурме 4;;;;9200000
